YearBuilt,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,SalePrice
1975,1533,1,0,2,0,280000
1996,1756,1,0,2,1,204000
2008,1590,0,0,2,1,210000
1976,1728,2,0,2,0,188000
1973,1242,0,0,1,1,175500
1916,1344,0,0,1,0,98000
1954,1663,1,0,1,0,256000
1925,1666,0,0,1,0,161000
1950,1203,1,0,1,0,110000
2009,1935,1,0,2,1,263435
1936,1135,1,0,1,0,155000
1965,864,0,0,1,0,62383
1934,1660,0,0,1,1,188700
1978,1040,0,0,2,0,124000
2004,1414,0,0,2,0,178740
1970,1277,1,0,1,0,167000
1942,1644,0,0,1,1,146500
2006,1634,0,0,2,0,250000
1993,1710,0,0,2,1,187000
1985,1502,1,0,1,1,212000
1977,1969,0,0,2,1,190000
2005,1072,1,0,1,0,148000
2006,1976,1,0,2,0,440000
2000,1652,1,0,2,0,251000
1963,970,1,0,1,0,132500
1997,1493,1,0,2,0,208900
2006,2643,0,0,2,1,380000
2007,1718,1,0,2,0,297000
1937,1131,0,0,1,0,89471
2004,1850,1,0,2,0,326000
2003,1792,1,0,2,0,374000
1915,1826,1,0,1,1,155000
1998,1216,1,0,2,0,164000
1962,999,1,0,1,0,132500
1950,1113,0,0,1,0,147000
1965,1073,1,0,1,1,156000
1971,1484,0,0,2,0,175000
1900,2414,0,0,2,0,160000
1970,630,1,0,1,0,86000
1976,1304,0,0,1,1,115000
1941,1578,1,0,1,0,133000
2006,1456,0,0,2,1,172785
1960,1269,0,0,1,1,155000
1938,886,0,0,1,0,91300
1920,720,0,0,1,0,34900
1992,3228,1,0,3,0,430000
1925,1820,1,0,2,0,184000
1967,899,0,0,1,0,130000
1958,912,0,1,1,0,120000
1973,1218,0,0,1,1,113000
2005,1768,0,0,2,1,226700
1965,1214,1,0,1,0,140000
1959,1801,1,0,2,0,289000
1974,1322,0,1,2,1,147000
1952,1960,0,0,2,0,124500
1993,1911,0,0,2,1,215000
2009,1218,0,0,2,0,208300
1928,1378,0,0,2,0,161000
1959,1041,1,0,1,0,124500
1951,1363,1,0,1,0,164900
2005,1368,0,0,2,0,202665
1958,864,1,0,1,0,129900
1983,1080,0,0,1,1,134000
1926,789,0,0,1,0,96500
2009,2020,1,0,2,1,402861
1972,2119,0,0,2,1,158000
1996,2344,0,0,2,1,265000
1998,1796,1,0,2,1,211000
1926,2080,0,0,1,1,234000
1900,1294,0,0,2,0,106250
1957,1244,0,0,1,1,150000
1947,1664,0,0,2,0,159000
2007,4676,1,0,3,1,184750
1996,2398,1,0,2,1,315750
2005,1266,0,0,2,0,176000
1956,928,0,0,1,0,132000
2008,2713,1,0,2,1,446261
1920,605,1,0,1,0,86000
1957,2515,1,0,3,0,200624
1988,1509,1,0,2,0,175000
1920,1362,0,0,2,0,128000
1955,827,0,0,1,0,107500
1946,334,0,0,1,0,39300
2004,1414,0,0,2,1,178000
1910,1347,1,0,1,0,107500
1998,1724,0,0,2,1,188000
1972,864,0,0,1,0,111250
1968,1159,0,0,1,1,158000
2001,1601,1,0,2,0,272000
2006,1838,1,0,2,0,315000
2000,2285,0,0,2,1,248000
1998,1680,1,0,2,0,213250
1998,767,1,0,1,0,133000
2006,1496,1,0,2,1,179665
1988,2183,0,0,2,1,229000
1923,1635,0,0,1,1,210000
1970,768,1,0,1,0,129500
1955,825,1,0,1,0,125000
2003,2094,0,0,2,1,263000
1977,1069,0,0,2,0,140000
1957,928,0,0,1,0,112500
2006,1717,0,0,2,0,255500
1949,1126,0,0,2,0,108000
2003,2046,1,0,2,1,284000
1922,1048,0,0,1,0,113000
1957,1092,1,0,1,0,141000
1920,1336,0,0,1,1,108000
1996,1446,0,1,2,1,175000
2003,1557,0,0,2,0,234000
1957,1392,1,0,1,1,121500
1974,1389,1,0,1,0,170000
1940,996,1,0,1,0,108000
1918,1674,0,0,2,0,185000
1992,2295,1,0,2,1,268000
1915,1647,1,0,1,1,128000
2005,2504,0,0,2,1,325000
2004,1535,0,0,2,0,214000
1983,2132,1,0,1,1,316600
1979,943,1,0,1,0,135960
1965,1728,0,0,2,0,142600
1959,864,1,0,1,0,120000
2009,1692,0,0,2,1,224500
2000,1430,0,0,2,1,170000
1971,1109,0,1,1,0,139000
1947,1216,0,0,1,0,118500
1928,1477,0,1,2,0,145000
1966,1320,1,0,1,0,164500
2007,1392,0,0,2,0,146000
1954,1795,0,0,2,0,131500
1960,1429,0,1,1,0,181900
2008,2042,0,0,2,1,253293
1990,816,1,0,1,0,118500
1893,2775,0,0,3,1,325000
1935,1573,0,0,1,0,133000
2005,2028,1,0,2,0,369900
1918,838,1,0,1,0,130000
1982,860,1,0,1,0,137000
1968,1473,2,0,1,0,143000
1930,935,0,0,1,0,79500
2004,1582,0,0,2,1,185900
2008,2296,1,0,2,1,451950
1982,816,1,0,1,0,138000
2003,848,1,0,1,0,140000
1975,924,0,0,1,0,110000
2005,1826,1,0,2,0,319000
1910,1368,0,0,1,0,114504
2006,1402,0,2,0,2,194201
1977,1647,1,0,2,0,217500
1980,1556,1,0,2,1,151000
2005,1904,1,0,2,1,275000
1937,1375,0,0,1,1,141000
1992,1915,1,0,2,1,220000
2004,1200,0,0,2,1,151000
2002,1494,1,0,2,0,221000
1965,1986,0,0,2,1,205000
1996,1040,1,0,1,0,152000
1948,2008,1,0,3,0,225000
1934,3194,0,0,2,1,359100
1961,1029,1,0,1,0,118500
2000,2153,1,0,2,1,313000
1978,1032,0,1,2,0,148000
2001,1872,1,0,2,1,261500
2007,1120,0,0,1,0,147000
1972,630,1,0,1,0,75500
1963,1054,1,0,1,0,137500
2002,1509,1,0,2,1,183200
1954,832,0,0,1,0,105500
2007,1828,0,0,2,0,314813
2003,2262,1,0,2,1,305000
1914,864,1,0,1,0,67000
1974,2614,0,0,2,1,240000
1977,980,0,0,1,0,135000
2000,1512,0,0,2,1,168500
1972,1790,1,0,1,2,165150
1962,1116,0,0,1,1,160000
1960,1422,0,0,1,0,139900
1955,1520,1,0,1,0,153000
1969,2080,0,1,1,2,135000
1964,1350,1,0,1,1,168500
1880,1750,0,0,1,0,124000
2006,1554,0,0,2,0,209500
1977,1411,0,0,2,0,82500
1954,1056,0,1,1,0,139400
1980,1056,2,0,0,0,144000
1914,3395,0,0,2,0,200000
1936,800,0,0,1,0,60000
1954,1387,0,0,2,0,93000
1910,796,0,0,1,0,85000
2006,1567,1,0,2,0,264561
2003,1518,0,0,1,1,274000
2001,1929,1,0,2,1,226000
1972,2704,1,0,2,1,345000
1969,1620,0,0,2,1,152000
2009,1766,1,0,2,1,370878
1971,981,1,0,1,1,143250
1950,1048,0,0,1,0,98300
1953,1094,0,0,1,0,155000
1966,1839,0,0,1,1,155000
1970,630,1,0,1,0,84500
2007,1665,0,0,2,1,205950
1940,1510,1,0,1,0,108000
1996,1716,0,0,2,1,191000
1906,1469,0,0,1,0,135000
1995,2113,1,0,2,1,350000
1971,1092,0,0,1,1,88000
1959,1053,1,0,1,1,145500
1931,1502,0,0,1,1,149000
1948,1458,0,1,1,0,97500
1964,1486,1,0,1,0,167000
1976,1935,0,0,2,1,197900
1994,2448,1,0,2,1,402000
1968,1392,1,0,1,0,110000
1972,1181,1,0,2,0,137500
2005,2097,1,0,1,1,423000
2000,1936,0,0,2,1,230500
1965,2380,0,0,2,1,129000
1994,1679,1,0,2,0,193500
1956,1437,1,0,1,1,168000
1922,1180,0,0,1,0,137500
2005,1476,1,0,2,1,173500
1925,1369,1,0,2,0,103600
1977,1208,1,0,1,1,165000
1957,1839,1,0,2,0,257500
1965,1136,1,0,1,0,140000
1978,1441,0,0,2,1,148500
1900,1774,1,0,2,0,87000
1924,792,0,0,1,0,109500
2008,2046,0,0,2,1,372500
1961,988,1,0,1,0,128500
1980,923,0,0,2,0,143000
1932,1520,0,0,1,0,159434
1996,1291,1,0,1,0,173000
2002,1668,1,0,2,0,285000
1998,1839,0,0,2,1,221000
1984,2090,1,0,2,0,207500
2007,1761,0,0,3,0,227875
2004,1102,0,0,2,1,148800
2007,1419,1,0,2,0,392000
2005,1362,0,0,2,0,194700
2004,848,1,0,1,0,141000
1994,4316,0,1,3,1,755000
1989,2519,1,0,2,1,335000
1921,1073,0,0,1,0,108480
1936,1539,0,0,1,1,141500
1987,1137,1,0,2,0,176000
1921,616,0,0,1,0,89000
1952,1148,0,1,1,0,123500
1965,894,1,0,1,0,138500
2004,1391,0,0,2,0,196000
2002,1800,1,0,2,0,312500
1969,1164,0,0,1,1,140000
2006,2576,0,0,2,1,361919
1900,1812,0,0,2,0,140000
2004,1484,1,0,2,0,213000
1930,1092,0,0,2,0,55000
1971,1824,1,0,2,0,302000
2006,1324,1,0,2,0,254000
2007,1456,0,0,2,1,179540
1966,904,0,0,1,0,109900
1935,729,0,0,1,0,52000
1900,1178,0,0,1,0,102776
1988,1228,1,0,2,0,189000
1970,960,1,0,1,0,129000
1976,1479,0,0,2,1,130500
1974,1350,0,0,2,0,165000
1890,2554,0,0,1,1,159500
1973,1178,0,1,1,1,157000
1993,2418,1,0,2,1,341000
1969,971,0,0,1,1,128500
1985,1742,1,0,2,0,275000
2004,848,1,0,1,0,143000
1970,864,0,0,1,0,124500
1954,1470,0,0,2,0,135000
2007,1698,1,0,2,0,320000
1970,864,0,0,1,0,120500
1988,1680,1,0,2,0,222000
2007,1232,1,0,2,0,194500
1958,1776,1,0,2,0,110000
1925,1208,0,0,1,0,103000
1995,1616,1,0,2,0,236500
2003,1146,1,0,2,0,187500
1998,2031,0,0,2,1,222500
1961,1144,1,0,1,0,131400
1968,948,0,0,1,0,108000
1914,1768,0,0,1,1,163000
1950,1040,0,0,2,0,93500
2005,1801,0,0,2,1,239900
1987,1200,3,0,3,0,179000
2004,1728,0,0,2,1,190000
1910,1432,0,0,2,0,132000
1961,912,1,1,1,0,142000
2000,1349,0,0,2,0,179000
1963,1464,0,1,2,0,175000
1993,1337,1,0,2,0,180000
1976,2715,0,1,3,1,299800
2000,2256,0,0,2,1,236000
1880,2640,0,0,1,1,265979
1996,1720,1,0,2,0,260400
1945,1529,0,0,2,0,98000
1910,1140,0,0,1,0,96500
2003,1320,0,0,2,1,162000
1997,1494,1,0,2,0,217000
2005,2098,0,0,2,1,275500
1969,1026,1,0,1,0,156000
1999,1471,0,0,2,1,172500
2007,1768,0,0,2,1,212000
1978,1386,0,0,2,1,158900
1999,1501,0,0,2,1,179400
1995,2531,0,0,2,1,290000
1959,864,0,0,1,0,127500
1924,1301,0,0,1,0,100000
2009,1547,0,0,2,1,215200
1999,2365,1,0,2,1,337000
1995,1494,1,0,1,1,270000
2008,1506,0,0,2,0,264132
1988,1714,0,0,2,1,196500
1940,1750,1,0,2,0,160000
2004,1836,0,0,2,0,216837
2003,3279,1,0,3,1,538000
1982,858,1,0,1,0,134900
1951,1220,0,0,1,0,102000
1976,1117,1,0,1,0,107000
1958,912,0,0,1,0,114500
2006,1973,0,0,2,0,395000
1998,1204,1,0,2,0,162000
2005,1614,0,0,2,0,221500
1974,894,1,0,1,0,142500
1977,2020,0,0,2,0,144000
1977,1004,1,0,1,0,135000
1995,1253,0,0,2,0,176000
1992,1603,0,0,2,1,175900
2001,1430,0,0,2,0,187100
1978,1110,1,0,1,0,165500
1914,1484,0,0,2,0,128000
1967,1342,0,0,2,0,161500
1915,1652,1,0,2,0,139000
2004,2084,1,0,2,1,233000
1954,901,0,0,1,0,107900
1966,2087,0,0,2,1,187500
2005,1145,0,0,2,0,160200
1976,1062,1,0,1,0,146800
1996,2013,1,0,2,1,269790
2007,1496,0,0,2,0,225000
1994,1895,0,0,2,1,194500
1980,1564,0,0,2,1,171000
1977,1285,0,0,1,1,143500
1953,773,0,0,1,0,110000
2008,3140,0,0,3,1,485000
1937,1768,1,0,1,1,175000
1997,1688,1,0,2,1,200000
1916,1196,1,0,1,0,109900
2005,1456,1,0,2,1,189000
2008,2822,0,0,3,1,582933
1954,1128,0,0,1,0,118000
2008,1428,0,0,2,0,227680
1967,980,0,0,2,0,135500
1923,1576,2,0,1,1,223500
1966,1086,1,0,1,0,159950
1898,2138,0,0,2,0,106000
1974,1309,1,0,1,1,181000
2004,848,1,0,1,0,144500
1952,1044,0,0,1,0,55993
1958,1442,0,0,1,1,157900
1918,1250,0,1,1,1,116000
1998,1661,0,0,2,0,224900
1954,1008,0,0,1,0,137000
2002,1689,1,0,2,0,271000
1971,1052,1,0,1,0,155000
2009,1358,1,0,2,0,224000
2003,1640,0,0,2,1,183000
1953,936,0,0,1,0,93000
2003,1733,0,0,2,1,225000
1940,1489,0,0,2,0,139500
2006,1489,0,0,2,0,232600
